cnt,article,count,price,Артикул поставщика,Бренд,Предмет,Номенклатура,Код размера (chrt_id),Артикул ИМТ,Артикул Цвета,Размер,Баркод,Розничная цена,Комплектация
4,Полотенце 150 х210 васильковый (itu),4,536.0,4833001530087/васильковый,Байрамали,Простыни,7558151.0,26027210.0,4833001530087/,васильковый,0.0,48330015300871,1690.0,
4,Полотенце 150 х210 желтый(itu),4,536.0,4833001530087/желтый,Байрамали,Простыни,8315989.0,28256916.0,4833001530087/,желтый,0.0,48330015300883,1690.0,
4,Полотенце 150 х210 зеленый (itu),4,536.0,4833001530087/зеленый,Байрамали,Простыни,8178164.0,27862802.0,4833001530087/,зеленый,0.0,48330015300879,1690.0,
4,Полотенце 150 х210 малиновый (itu),4,536.0,4833001530087/малиновый,Байрамали,Простыни,7981101.0,27309924.0,4833001530087/,малиновый,0.0,48330015300877,1690.0,
4,Полотенце 150 х210 розовый (itu),4,536.0,4833001530087/светло-розовый,Байрамали,Простыни,10210381.0,33230296.0,4833001530087/,светло-розовый,0.0,48330015300887,1690.0,
4,Полотенце 150 х210 салатовый (itu),4,536.0,4833001530087/салатовый,Байрамали,Простыни,7981102.0,27309925.0,4833001530087/,салатовый,0.0,48330015300878,1690.0,
4,Полотенце 150 х210 светло-голубой (itu),4,536.0,4833001530087/светло-голубой,Байрамали,Простыни,8178165.0,27862803.0,4833001530087/,светло-голубой,0.0,48330015300880,1690.0,
4,Полотенце 150 х210 светло-зеленый (itu),4,536.0,4833001530087/светло-зеленый,Байрамали,Простыни,8178166.0,27862804.0,4833001530087/,светло-зеленый,0.0,48330015300881,1690.0,
4,Полотенце 150 х210 светло-кремовый(itu),4,536.0,4833001530087/светло-кремовый,Байрамали,Простыни,10210380.0,33230295.0,4833001530087/,светло-кремовый,0.0,48330015300886,1690.0,
4,Полотенце 150 х210 сиреневый (itu),4,536.0,4833001530087/сиреневый,Байрамали,Простыни,10210382.0,33230297.0,4833001530087/,сиреневый,0.0,48330015300888,1690.0,
4,Полотенце 150 х210 темно-оливковый (itu),4,536.0,4833001530087/темно-оливковый,Байрамали,Простыни,7558152.0,26027211.0,4833001530087/,темно-оливковый,0.0,48330015300872,1690.0,
4,Полотенце 150 х210 темно-синий (itu),4,536.0,4833001530087/Темно-синий,Байрамали,Простыни,7955409.0,27235055.0,4833001530087/,Темно-синий,0.0,48330015300874,1690.0,
4,Полотенце 150 х210 ярко-зеленый (itu),4,536.0,4833001530087/ярко-зеленый,Байрамали,Простыни,8178167.0,27862805.0,4833001530087/,ярко-зеленый,0.0,48330015300882,1690.0,
4,Полотенце 180 х210 белое (itu),4,643.0,4833001530094/белый,Байрамали,Простыни,9039485.0,30300951.0,4833001530094/,белый,0.0,48330015300955,1990.0,
4,Полотенце 180 х210 бордовый (itu),4,643.0,4833001530094/бордовый,Байрамали,Простыни,8316582.0,28258631.0,4833001530094/,бордовый,0.0,48330015300941,1990.0,
4,Полотенце 180 х210 васильковый (itu),4,643.0,4833001530094/васильковый,Байрамали,Простыни,10210383.0,33230298.0,4833001530094/,васильковый,0.0,48330015300958,1990.0,
4,Полотенце 180 х210 голубой (itu),4,643.0,4833001530094/голубой,Байрамали,Простыни,8330089.0,28299488.0,4833001530094/,голубой,0.0,48330015300942,1990.0,
4,Полотенце 180 х210 зеленый (itu),4,643.0,4833001530094/зеленый,Байрамали,Простыни,8330091.0,28299490.0,4833001530094/,зеленый,0.0,48330015300944,1990.0,
4,Полотенце 180 х210 красный (itu),4,643.0,4833001530094/красный,Байрамали,Простыни,8610645.0,29082634.0,4833001530094/,красный,0.0,48330015300952,1990.0,
4,Полотенце 180 х210 малиновый (itu),4,643.0,4833001530094/малиновый,Байрамали,Простыни,8330092.0,28299491.0,4833001530094/,малиновый,0.0,48330015300945,1990.0,
4,Полотенце 180 х210 морская волна (itu),4,643.0,4833001530094/морская-волна,Байрамали,Простыни,10210384.0,33230299.0,4833001530094/,морская-волна,0.0,48330015300959,1990.0,
4,Полотенце 180 х210 оранжевый (itu),4,643.0,4833001530094/оранжевый,Байрамали,Простыни,8330093.0,28299492.0,4833001530094/,оранжевый,0.0,48330015300946,1990.0,
4,Полотенце 180 х210 розовый (itu),4,643.0,4833001530094/розовый,Байрамали,Простыни,9273714.0,30939073.0,4833001530094/,розовый,0.0,48330015300956,1990.0,
4,Полотенце 180 х210 салатовый (itu),4,643.0,4833001530094/салатовый,Байрамали,Простыни,8330094.0,28299493.0,4833001530094/,салатовый,0.0,48330015300947,1990.0,
4,Полотенце 180 х210 светло-голубой (itu),4,643.0,4833001530094/светло-голубой,Байрамали,Простыни,8330095.0,28299494.0,4833001530094/,светло-голубой,0.0,48330015300948,1990.0,
4,Полотенце 180 х210 сиреневый (itu),4,643.0,4833001530094/сиреневый,Байрамали,Простыни,9273715.0,30939074.0,4833001530094/,сиреневый,0.0,48330015300957,1990.0,
4,Полотенце 180 х210 темно-синий (itu),4,643.0,4833001530094/темно-синий,Байрамали,Простыни,10210385.0,33230300.0,4833001530094/,темно-синий,0.0,48330015300960,1990.0,
4,Полотенце 180 х210 шоколад (itu),4,643.0,4833001530094/шоколад,Байрамали,Простыни,10210386.0,33230301.0,4833001530094/,шоколад,0.0,48330015300961,1990.0,
4,Полотенце 180 х210 ярко-зеленый (itu),4,643.0,4833001530094/ярко-зеленый,Байрамали,Простыни,8330098.0,28299497.0,4833001530094/,ярко-зеленый,0.0,48330015300951,1990.0,
25,Полотенце 70 х140 белое (itu),25,167.0,4833001530063/белый,Байрамали,Полотенца банные,6213316.0,22042728.0,4833001530063/,белый,0.0,48330015300631,749.0,
25,Полотенце 70 х140 бирюзовый (itu),25,167.0,4833001530063/бирюза,Байрамали,Полотенца банные,6213317.0,22042729.0,4833001530063/,бирюза,0.0,48330015300632,749.0,
25,Полотенце 70 х140 желтый (itu),25,167.0,4833001530063/желтый,Байрамали,Полотенца банные,8610640.0,29082629.0,4833001530063/,желтый,0.0,48330015300649,749.0,
25,Полотенце 70 х140 лимонный (itu),25,167.0,4833001530063/лимонный,Байрамали,Полотенца банные,7553358.0,26015639.0,4833001530063/,лимонный,0.0,48330015300645,749.0,
25,Полотенце 70 х140 оранжевый (itu),25,167.0,4833001530063/оранжевый,Байрамали,Полотенца банные,7427777.0,25635137.0,4833001530063/,оранжевый,0.0,48330015300642,749.0,
