cnt,article,count,price,Артикул поставщика,Бренд,Предмет,Номенклатура,Код размера (chrt_id),Артикул ИМТ,Артикул Цвета,Размер,Баркод,Розничная цена,Комплектация
25,Полотенце 50 х90 белое (itu),25,77.0,4833001530049/белый,Байрамали,Полотенца банные,6213308,22042720,4833001530049/,белый,0,48330015300491,449,
25,Полотенце 50 х90 васильковый (itu),25,77.0,4833001530049/васильковый,Байрамали,Полотенца банные,9273708,30939067,4833001530049/,васильковый,0,48330015300513,449,
25,Полотенце 50 х90 желтый(itu),25,77.0,4833001530049/желтый,Байрамали,Полотенца банные,6860064,23944276,4833001530049/,желтый,0,48330015300500,449,
25,Полотенце 50 х90 зеленый (itu),25,77.0,4833001530049/зеленый,Байрамали,Полотенца банные,8105388,27661019,4833001530049/,зеленый,0,48330015300508,449,
25,Полотенце 50 х90 лимонный (itu),25,77.0,4833001530049/лимонный,Байрамали,Полотенца банные,9039479,30300945,4833001530049/,лимонный,0,48330015300509,449,
25,Полотенце 50 х90 оранжевый (itu),25,77.0,4833001530049/оранжевый,Байрамали,Полотенца банные,9039480,30300946,4833001530049/,оранжевый,0,48330015300510,449,
25,Полотенце 50 х90 персиковый (itu),25,77.0,4833001530049/персиковый,Байрамали,Полотенца банные,7427773,25635133,4833001530049/,персиковый,0,48330015300507,449,
25,Полотенце 50 х90 светло-голубой (itu),25,77.0,4833001530049/светло-голубой,Байрамали,Полотенца банные,7427774,25635134,4833001530049/,светло-голубой,0,48330015300504,449,
25,Полотенце 50 х90 светло-зеленый (itu),25,77.0,4833001530049/светло-зеленый,Байрамали,Полотенца банные,7427775,25635135,4833001530049/,светло-зеленый,0,48330015300506,449,
25,Полотенце 50 х90 темно-оливковый (itu),25,77.0,4833001530049/темно-оливковый,Байрамали,Полотенца банные,9039482,30300948,4833001530049/,темно-оливковый,0,48330015300512,449,
25,Полотенце 70 х140 белое (itu),25,168.0,4833001530063/белый,Байрамали,Полотенца банные,6213316,22042728,4833001530063/,белый,0,48330015300631,749,
25,Полотенце 70 х140 голубой (itu),25,168.0,4833001530063/голубой,Байрамали,Полотенца банные,7427776,25635136,4833001530063/,голубой,0,48330015300640,749,
25,Полотенце 70 х140 зеленый (itu),25,168.0,4833001530063/зеленый,Байрамали,Полотенца банные,8103714,27655587,4833001530063/,зеленый,0,48330015300648,749,
25,Полотенце 70 х140 лимонный (itu),25,168.0,4833001530063/лимонный,Байрамали,Полотенца банные,7553358,26015639,4833001530063/,лимонный,0,48330015300645,749,
25,Полотенце 70 х140 малиновый (itu),25,168.0,4833001530063/малиновый,Байрамали,Полотенца банные,7553359,26015640,4833001530063/,малиновый,0,48330015300647,749,
25,Полотенце 70 х140 персиковый (itu),25,168.0,4833001530063/персиковый,Байрамали,Полотенца банные,7427778,25635138,4833001530063/,персиковый,0,48330015300644,749,
25,Полотенце 70 х140 розовый (itu),25,168.0,4833001530063/розовый,Байрамали,Полотенца банные,8610642,29082631,4833001530063/,розовый,0,48330015300651,749,
25,Полотенце 70 х140 светло-кремовый (itu),25,168.0,4833001530063/светло-кремовый,Байрамали,Полотенца банные,6213322,22042734,4833001530063/,светло-кремовый,0,48330015300637,749,
25,Полотенце 70 х140 шоколад (itu),25,168.0,4833001530063/шоколад,Байрамали,Полотенца банные,7553360,26015641,4833001530063/,шоколад,0,48330015300646,749,
